name,categories,address,lat,lng,distance,city
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,6359,Melbourne
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,4732,Melbourne
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,5589,Brighton
2nd book shop,Bookstore,,-37.816244,144.968586,5419,
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,5556,
The Book Grocer,Bookstore,,-37.81669,144.89159,9497,Yarraville
ACU Book Store,College Bookstore,,-37.807676,144.978315,6257,Fitzroy
Book Affair,Bookstore,,-37.775397,144.960742,10013,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,10286,
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,10253,Northcote
Chai Jewish Books & Judaica Outlet,Bookstore,285A Carlisle Street,-37.8692213959954,144.99633014202118,1424,Balaclava
Syber's Books,Bookstore,38 Chapel St,-37.856210161914554,144.99275815961028,1293,Windsor
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,10861,Brunswick
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,11978,Moonee Ponds
Andrew Isles Natural History Books,Bookstore,,-37.849065,144.990731,1827,
"Monash University Bookshop, The Alfred",Bookstore,The Alfred,-37.84591813727972,144.98236656188965,1994,Melbourne
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,12359,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,7320,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,3879,South Yarra
The Book Grocer,Bookstore,,-37.837622,144.995999,4091,South Yarra
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,13902,Footscray
Books in Print,Bookstore,100 Glenferrie Road,-37.86201866273599,145.02884310381728,734,Malvern
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,3826,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,3864,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,7781,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,7650,Melbourne
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,7809,Fitzroy
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,7801,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,8071,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,8207,Fitzroy
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,7769,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,7691,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,8852,Carlton
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,8579,Docklands
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,6168,Canterbury
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,8029,Melbourne
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,8483,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,10001,Northcote
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,7167,Brighton
Grant's Bookshop,Bookstore,,-37.855404,145.01806,1514,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,11316,
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,6979,Melbourne
Book Affair,Bookstore,,-37.775397,144.960742,11246,
Deakin University Building H (Business & Law and MIBT Book Shop),College Bookstore,"Building H, 221 Burwood Highway",-37.84882390258912,145.11473959242863,7070,Burwood
2nd book shop,Bookstore,,-37.816244,144.968586,7440,
ACU Book Store,College Bookstore,,-37.807676,144.978315,7469,Fitzroy
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,7559,
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,12047,Williamstown
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,11902,Brunswick
Continental Bookshop,Bookstore,439–443 Burke Road,-37.84556901306103,145.05399152661045,2136,Boroondara
The Book Grocer,Bookstore,,-37.81669,144.89159,13410,Yarraville
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,9060,Box Hill
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,10906,
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,14148,Moonee Ponds
The Campus Bookstore (Monash University Caulfield),Bookstore,"Level 2, Building K, 28 Sir John Monash Drive",-37.877179,145.044671,2336,Caulfield East
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,2938,Melbourne
The Book Grocer,Bookstore,,-37.837622,144.995999,2001,South Yarra
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,2579,South Yarra
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,2774,Fitzroy
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,9538,Footscray
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,3049,Melbourne
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,3230,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,3185,Fitzroy
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,3123,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,3317,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,3342,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,3735,Melbourne
ACU Book Store,College Bookstore,,-37.807676,144.978315,2556,Fitzroy
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,16899,Wheelers Hill
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,3883,Carlton
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,2925,Melbourne
2nd book shop,Bookstore,,-37.816244,144.968586,3019,
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,3089,
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,4411,Docklands
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,3895,Melbourne
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,3850,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5330,Northcote
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,4221,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,6284,
Book Affair,Bookstore,,-37.775397,144.960742,6212,
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,6873,Brunswick
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,5890,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,5514,Melbourne
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,9229,Moonee Ponds
The Book Grocer,Bookstore,,-37.81669,144.89159,9763,Yarraville
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,10087,Williamstown
Avenue Bookstore,Bookstore,,-37.825022,144.993753,926,Melbourne
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,7895,Canterbury
Domain Bookshop,Bookstore,179 Domain Rd.,-37.83469326889047,144.98508805582395,2209,South Yarra
The Paperback Bookstore,Bookstore,60 Bourke St,-37.811851620602454,144.97129618254914,2905,Melbourne
All Books 4 Less Greensborough,Bookstore,,-37.703553,145.103868,386,
All Books,Bookstore,,-37.70297091432634,145.10280248685464,491,
Robinsons Bookshop,Bookstore,Main Street,-37.70358642083249,145.1035889478286,410,Greensborough
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,22831,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,17554,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,20852,Footscray
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,12339,Northcote
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,14728,
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,14660,Brunswick
Melbourne Book Restoration,Bookstore,,-37.630489776097924,145.18760970431464,10768,
Book Affair,Bookstore,,-37.775397,144.960742,15220,
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,15313,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,15546,Fitzroy
Eltham Bookshop,Bookstore,,-37.7139079662881,145.14842924126035,3708,Eltham
Collins Booksellers,Bookstore,"Shop T51, Uni Hill Factory Outlets",-37.68145078137726,145.07084924241798,4141,Bundoora
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,16040,Carlton
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,17358,Melbourne
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,12789,Box Hill
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,17197,Melbourne
Volumes Books And Gifts,Bookstore,"Shop 3, 24 Chute St",-37.67305,145.15122,5122,Diamond Creek
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,14323,
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,17520,Melbourne
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,13576,Canterbury
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,17807,Moonee Ponds
Campions Books,Bookstore,,-37.732274,145.054382,5688,
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,17951,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,17289,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,17634,Melbourne
adventist Book Centre,Bookstore,,-37.824233,145.166771,14339,
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,18378,South Yarra
Marvel Bookbinding & Printfinishing Pty Ltd,Bookstore,21 Kylta Rd,-37.732456,145.044534,6438,
The Book Grocer,Bookstore,,-37.837622,144.995999,17851,South Yarra
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,18546,Docklands
Robinson’s Bookshop,Bookstore,,-37.650953,145.069552,6819,Mill Park
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,17489,Melbourne
All Books 4 Less,Bookstore,Warringal Shopping Centre,-37.75526531027616,145.07095693582673,6579,Heidelberg
ACU Book Store,College Bookstore,,-37.807676,144.978315,16243,Fitzroy
Ulysses bookstore,Bookstore,35 Melrose street,-37.94953191252491,145.0037990091408,99,Sandringham
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,14788,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,15130,Melbourne
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,4243,Brighton
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,19776,Footscray
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,11992,South Yarra
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,9049,Melbourne
The Book Grocer,Bookstore,,-37.837622,144.995999,12564,South Yarra
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,10412,
Book and Paper,Bookstore,36 Douglas Pde.,-37.85779,144.89799,13906,Williamstown
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,15642,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,15517,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,15631,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,15558,Melbourne
Beaumaris Books,Bookstore,,-37.98620907832441,145.0342037415323,4777,
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,15459,Melbourne
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,15585,Docklands
Benns' Bookshop,Bookstore,,-37.91857822244426,145.04000071720458,4716,Bentleigh
Thesaraus Books,College Bookstore,,-37.91316405346006,144.9935499707919,4242,
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,15609,Melbourne
Monash Book And Merchandise Store,College Bookstore,,-37.912135,145.133526,12108,Clayton
The Campus Bookstore,College Bookstore,488 South Road,-37.93621000791059,145.05096673965454,4379,Moorabbin
All Books 4 Less,Bookstore,,-37.958242320749946,145.05351777149912,4402,
Dirt Cheap Books,Bookstore,,-37.958658,145.055311,4565,Cheltenham
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,16798,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,17005,Fitzroy
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,17301,Carlton
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,15274,Melbourne
The Book Grocer,Bookstore,,-37.81669,144.89159,17872,Yarraville
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,16174,Melbourne
Dirt Cheap Books,Bookstore,,-37.97593539521932,145.06659546218842,6160,
Mountain Books,Bookstore,,-37.98350397458091,145.06480247700406,6463,Mentone
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,14562,Melbourne
Syber's Books,Bookstore,668 Glenhuntly Rd,-37.886503,145.01761,7196,Caulfield
2nd book shop,Bookstore,,-37.816244,144.968586,15250,
Deakin University Building H (Business & Law and MIBT Book Shop),College Bookstore,"Building H, 221 Burwood Highway",-37.84882390258912,145.11473959242863,14885,Burwood
Out Of Print Books,Bookstore,,-37.886830880867514,145.0203238340852,7202,
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,15387,
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,10704,Wheelers Hill
Motor Book World,Bookstore,243 Canterbury Road,-37.82531517663253,145.09208500385284,2156,Canterbury
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,9507,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,16143,Footscray
Deakin University Building H (Business & Law and MIBT Book Shop),College Bookstore,"Building H, 221 Burwood Highway",-37.84882390258912,145.11473959242863,3756,Burwood
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,6959,South Yarra
The Book Grocer,Bookstore,,-37.837622,144.995999,6864,South Yarra
Good News Book House,Bookstore,1027 Whitehorse Road,-37.818128338676956,145.12518714621137,5031,Box Hill
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,8997,Fitzroy
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,9480,Fitzroy
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,9833,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,9654,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,9913,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,10311,Melbourne
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,9915,Northcote
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,9727,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,9930,Melbourne
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,10282,Carlton
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,7553,
Sainsbury's Books Pty Ltd,Bookstore,534 Riversdale Road,-37.83192574000541,145.05823390641237,1571,Camberwell
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,10959,Docklands
Canterbury Books,Bookstore,,-37.824355,145.081599,1703,
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,12093,
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,7858,Melbourne
Pauline Books & Media,Bookstore,7 Denmark Hill Road,-37.832518,145.054004,1884,
Continental Bookshop,Bookstore,439–443 Burke Road,-37.84556901306103,145.05399152661045,1934,Boroondara
Dirt Cheap Books,Bookstore,,-37.830462831997025,145.0568664156024,1755,Camberwell
Book Affair,Bookstore,,-37.775397,144.960742,12191,
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,10500,Melbourne
adventist Book Centre,Bookstore,,-37.824233,145.166771,8302,
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,10388,Melbourne
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,12615,Brunswick
ACU Book Store,College Bookstore,,-37.807676,144.978315,9091,Fitzroy
2nd book shop,Bookstore,,-37.816244,144.968586,9599,
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,9379,Melbourne
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,9680,
Monash Book And Merchandise Store,College Bookstore,,-37.912135,145.133526,9723,Clayton
DUSA Business And Law Bookstore,College Bookstore,221,-37.85108282589254,145.10831731589124,3321,Burwood
the leaf bookshop,Bookstore,,-37.863365,145.0804,2827,Ashburton
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,11251,Melbourne
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,12557,Footscray
The Book Grocer,Bookstore,263 High St.,-37.77264,144.99812,5798,Northcote
The Book Grocer,Bookstore,452 Sydney Rd.,-37.76746,144.96228,6627,Brunswick
the book grocer,Bookstore,452 Sydney Road,-37.772369384765625,144.96495056152344,6921,
Book Affair,Bookstore,,-37.775397,144.960742,7410,
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,24409,Wheelers Hill
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,9058,Fitzroy
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,9074,Fitzroy
Book Grocer,Bookstore,Puckle street,-37.766983,144.922264,9240,Moonee Ponds
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,9179,Carlton
Blue Guitar Book Shop,Bookstore,,-37.77357,144.971315,6731,
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,10865,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,10770,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,11011,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,11319,Melbourne
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,10838,Melbourne
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,11134,Melbourne
oak st book shop,Bookstore,,-37.722628,144.923902,7581,
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,11717,Docklands
The Book Grocer,Bookstore,415 Elizabeth St.,-37.80918,144.96056,10695,Melbourne
The Book Grocer,Bookstore,,-37.837622,144.995999,12996,South Yarra
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,13579,South Yarra
The Book Grocer,Bookstore,464 Collins St,-37.81787788882015,144.95883841007142,11644,Melbourne
Collins Bookstore,Bookstore,2-50 Murray Rd,-37.738451536366114,145.02918755224508,2541,Preston
ACU Book Store,College Bookstore,,-37.807676,144.978315,10000,Fitzroy
robinsons bookshop,Bookstore,,-37.739879,145.031252,2781,
Marvel Bookbinding & Printfinishing Pty Ltd,Bookstore,21 Kylta Rd,-37.732456,145.044534,3281,
The Book Grocer,Bookstore,,-37.81669,144.89159,14868,Yarraville
Niddrie Arcade Book Exchange & Stamp Shop,Bookstore,334 Keilor Rd,-37.73701198000026,144.89168705071918,10559,Niddrie
Second Hands Book,Bookstore,,-37.81507925425275,144.96803770145902,11062,
2nd book shop,Bookstore,,-37.816244,144.968586,11168,
Fully Booked,Bookstore,,-37.75324825558141,145.00143704679917,3624,
Campions Books,Bookstore,,-37.732274,145.054382,4091,
Perimeter Books,Bookstore,748 High St,-37.755844,145.0013,3909,Thornbury
Art Book Fair,Bookstore,NGV Hall,-37.822436,144.969346,11802,Melbourne
DARUSSALAM Islamic Bookstore,Bookstore,397 Sydney Road,-37.744392,144.966202,4627,Coburg
Book Planet,Bookstore,608 Ferntree Gully Rd,-37.9045899741834,145.16252517700195,12921,Wheelers Hill
Federation Square Book Market,Bookstore,Federation Square,-37.81722927084524,144.96933978173965,7541,Melbourne
Gold's Book and Gift Company,Bookstore,3-13R William Street,-37.869441,144.993731,2471,Melbourne
Book Frenzy,Bookstore,"500 Chapel St, South Yarra VIC 3141",-37.842818,144.995101,3902,South Yarra
Inspiration Adult Book Store,Bookstore,,-37.85731200596345,144.99152721071488,3056,
Victoria University Book Shop,College Bookstore,"Footscray Park Campus, Ballarat Rd",-37.793017314047184,144.89974780538554,13790,Footscray
The Book Grocer,Bookstore,,-37.837622,144.995999,4336,South Yarra
Books in Print,Bookstore,100 Glenferrie Road,-37.86201866273599,145.02884310381728,1159,Malvern
Book Grocer,Bookstore,206 Bourke St,-37.81291,144.96702,8047,Melbourne
The Book Grocer,Bookstore,140 Bourke St,-37.812641,144.969259,7955,Melbourne
The Book Grocer,Bookstore,455 Bourke Street,-37.81527,144.96054,8200,Melbourne
The Book Grocer,Bookstore,165 Swanston Street,-37.813913,144.965694,8029,Melbourne
Thesaurus Books,Bookstore,29 Church St,-37.91312,144.99373,5314,Brighton
The Book Grocer,Bookstore,287 Little Collins St,-37.814927,144.965139,7970,Melbourne
Book Affair,Bookstore,287 Smith St,-37.80027,144.9839,8531,Fitzroy
The Book Grocer,Bookstore,147-149 Russell St,-37.81300678505016,144.9682491466126,7974,Melbourne
The Book Grocer,Bookstore,286 Brunswick Street,-37.7989,144.9786,8862,Fitzroy
The Book Grocer,Bookstore,201 Spencer St.,-37.81639,144.95261,8585,Docklands
Book Affair,Bookstore,Elgin Street,-37.797352770545274,144.9693607283613,9389,Carlton
